37,8,150,10,60,47,-1,-1,-1,-1
37,12,92,28,85,46,-1,-1,-1,-1
37,13,89,424,52,16,-1,-1,-1,-1
37,14,111,0,19,25,-1,-1,-1,-1
38,1,399,129,18,23,-1,-1,-1,-1
38,4,228,9,46,23,-1,-1,-1,-1
38,6,331,220,98,36,-1,-1,-1,-1
38,7,257,76,41,28,-1,-1,-1,-1
38,8,157,7,62,48,-1,-1,-1,-1
38,12,101,28,85,46,-1,-1,-1,-1
38,13,97,423,52,16,-1,-1,-1,-1
38,14,117,0,19,24,-1,-1,-1,-1
39,1,409,129,18,23,-1,-1,-1,-1
39,4,235,10,46,23,-1,-1,-1,-1
39,6,343,220,97,36,-1,-1,-1,-1
39,7,267,76,41,28,-1,-1,-1,-1
39,8,164,5,64,48,-1,-1,-1,-1
39,12,109,28,85,46,-1,-1,-1,-1
39,13,105,424,52,16,-1,-1,-1,-1
39,14,124,0,19,22,-1,-1,-1,-1
40,1,420,129,18,23,-1,-1,-1,-1
40,4,242,10,46,22,-1,-1,-1,-1
40,6,356,220,97,36,-1,-1,-1,-1
40,7,276,76,41,28,-1,-1,-1,-1
40,8,171,4,65,48,-1,-1,-1,-1
40,12,118,28,84,46,-1,-1,-1,-1
40,13,113,424,52,16,-1,-1,-1,-1
40,14,131,0,19,21,-1,-1,-1,-1
41,1,431,129,18,23,-1,-1,-1,-1
41,4,249,10,46,22,-1,-1,-1,-1
41,6,368,220,97,36,-1,-1,-1,-1
41,7,286,76,41,28,-1,-1,-1,-1
41,8,179,3,66,48,-1,-1,-1,-1
41,12,126,28,85,46,-1,-1,-1,-1
41,13,121,424,52,16,-1,-1,-1,-1
41,14,137,0,18,22,-1,-1,-1,-1
42,1,442,129,18,23,-1,-1,-1,-1
42,4,256,10,46,21,-1,-1,-1,-1
42,6,380,221,97,35,-1,-1,-1,-1
42,7,295,76,41,28,-1,-1,-1,-1
42,8,186,3,67,48,-1,-1,-1,-1
42,12,135,28,85,46,-1,-1,-1,-1
42,13,129,424,52,16,-1,-1,-1,-1
42,14,143,0,18,22,-1,-1,-1,-1
43,1,452,129,18,23,-1,-1,-1,-1
43,4,264,10,46,20,-1,-1,-1,-1
43,6,393,221,97,35,-1,-1,-1,-1
43,7,305,76,41,28,-1,-1,-1,-1
43,8,195,3,67,48,-1,-1,-1,-1
43,12,143,28,85,46,-1,-1,-1,-1
43,13,138,424,52,16,-1,-1,-1,-1
43,14,148,0,17,21,-1,-1,-1,-1
44,1,463,129,18,23,-1,-1,-1,-1
44,4,271,11,45,19,-1,-1,-1,-1
44,6,405,220,97,36,-1,-1,-1,-1
44,7,315,76,41,28,-1,-1,-1,-1
44,8,202,4,68,47,-1,-1,-1,-1
44,12,152,28,85,46,-1,-1,-1,-1
44,13,146,424,52,16,-1,-1,-1,-1
44,14,154,0,17,20,-1,-1,-1,-1
45,1,474,129,18,23,-1,-1,-1,-1
45,4,279,11,45,18,-1,-1,-1,-1
45,6,417,220,98,36,-1,-1,-1,-1
45,7,324,76,40,28,-1,-1,-1,-1
45,8,209,4,67,47,-1,-1,-1,-1
45,12,160,28,84,46,-1,-1,-1,-1
45,13,154,424,52,16,-1,-1,-1,-1
45,14,157,0,17,21,-1,-1,-1,-1
46,1,485,129,18,23,-1,-1,-1,-1
46,4,286,11,45,17,-1,-1,-1,-1
46,6,430,220,98,36,-1,-1,-1,-1
46,7,334,76,40,28,-1,-1,-1,-1
46,8,217,4,67,47,-1,-1,-1,-1
46,12,169,28,85,46,-1,-1,-1,-1
46,13,162,424,52,16,-1,-1,-1,-1
46,14,160,0,19,26,-1,-1,-1,-1
47,1,494,129,18,21,-1,-1,-1,-1
47,4,293,11,44,17,-1,-1,-1,-1
47,6,442,220,98,36,-1,-1,-1,-1
47,7,343,77,40,28,-1,-1,-1,-1
47,8,225,7,65,46,-1,-1,-1,-1
47,12,177,28,84,46,-1,-1,-1,-1
47,13,170,424,52,16,-1,-1,-1,-1
47,14,166,0,20,30,-1,-1,-1,-1
48,4,300,11,44,17,-1,-1,-1,-1
48,6,454,220,98,36,-1,-1,-1,-1
48,7,353,77,40,28,-1,-1,-1,-1
48,8,233,7,64,45,-1,-1,-1,-1
48,12,185,28,84,47,-1,-1,-1,-1
48,13,178,424,52,16,-1,-1,-1,-1
48,14,171,0,21,32,-1,-1,-1,-1
49,4,307,11,44,17,-1,-1,-1,-1
49,6,467,220,98,36,-1,-1,-1,-1
49,7,362,77,40,28,-1,-1,-1,-1
49,8,240,14,59,45,-1,-1,-1,-1
49,12,194,28,84,47,-1,-1,-1,-1
49,13,186,424,52,16,-1,-1,-1,-1
49,14,176,0,21,34,-1,-1,-1,-1
50,4,314,11,44,17,-1,-1,-1,-1
50,6,479,220,97,35,-1,-1,-1,-1
50,7,372,77,40,28,-1,-1,-1,-1
50,8,248,18,55,44,-1,-1,-1,-1
50,12,202,28,85,47,-1,-1,-1,-1
50,13,194,424,52,16,-1,-1,-1,-1
50,14,181,0,19,34,-1,-1,-1,-1
